smiles,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,drugban_affinity,moltrans_affinity,tankbind_affinity,unimol_similarity
CCn1c(C(=O)NCCN)ccc1C(CC)(CC)c1ccc(OCCC(O)(CC)CC)c(C)c1,G2,reinvent_transmol,6.67789793,6.338424683,5.908215523,7.760806084,-10.1,-0.29325819,0.912891865,-7.800029325,-7.090865203,-9.752448,0.9493453
C=C1[C@H](O)CC(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)CC#C[C@@H](O)[C@]45C[C@H]6C[C@H](C[C@H](C6)C4)C5)CC[C@@H]23)C[C@H]1O,initial_370,reference,7.021370888,7.154373646,6.499854088,9.717680931,-10.1,-1.20981288,0.898052633,-8.261304827,-6.721554019,-9.767491,0.94384265
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC(O)C(CCCO)C1O,initial_370,reference,5.931278229,6.650210381,4.728562832,7.324154854,-10.1,-1.381229997,0.920166612,-8.738574,-8.071948,-8.957881,0.3820224719101123
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC(C)C)CC(O)CC1O,initial_370,reference,5.285358906,5.602983475,5.819421768,6.908430099,-10.1,-0.832004309,0.925591886,-6.984720436,-6.788905377,-9.767628,0.9617394
CCC(CC)(c1ccc(NCC(O)CO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,initial_370,reference,4.768360615,5.810059547,4.468442917,5.382655144,-10.1,0.198988482,0.919612348,-8.450759852,-6.848827612,-9.755104,0.95331645
CCC(CC)(c1ccc(NCC(O)CO)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,initial_370,reference,4.823336124,5.777742386,4.325666428,5.629208565,-10.1,0.732561827,0.911774457,-8.363237067,-6.972458422,-9.755583,0.95708793
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2CC(C)(O)C(=O)N2CCCc2cc(OC)cc(OC)c2)CC(O)CC1O,initial_370,reference,6.709956169,6.654759407,5.501574039,8.5928545,-10.1,-1.247187495,0.923418462,-8.514796394,-6.802772297,-9.750246,0.9464709
CCCCC1C(O)CC(C=CC2=CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)=C(C)C1O,initial_370,reference,6.194959641,6.234333992,4.66571188,7.667737007,-10.1,-0.961397886,0.930290878,-7.778733,-7.06532,-9.129154,0.425
CC(C=CC(=O)NO)=CC(C)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,6.67789793,6.338424683,5.908215523,7.760808945,-10.1,-0.282465816,0.930387199,-8.62165,-7.946864,-8.836186,0.5428571428571428
CC(CCCCNC(=O)CS)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,6.650052547,6.319408417,5.917236328,7.958763123,-10.1,-0.221959144,0.92072612,-8.543475,-7.426243,-8.769084,0.6666666666666666
CC(CCCNS(N)(=O)=O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,6.682682991,6.370316505,7.119640827,7.591910362,-10.1,-0.547343552,0.912021935,-9.149770949,-6.952280385,-9.749401,0.95620215
CC(CCCNC(=O)CS)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,initial_370,reference,7.035661221,5.902809143,7.016742706,8.548998833,-10.1,-0.86933732,0.915273368,-8.444413,-7.805004,-8.76713,0.676923076923077
