fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc,test_mean_rank
3,DrugBAN,5.5026046691105535,2,4.126953501832915,3,1.917808219178082,7,1.643835616438356,12,1.3013698630136987,19,1.3242009132420092,29,0.5778264106344705,0.008886214641799374,0.05138876938974262,6026.376712328767
3,MolTrans,0.0,0,0.0,0,0.273972602739726,1,0.410958904109589,3,0.4794520547945205,7,0.45662100456621,10,0.25772485132539824,0.00327913054810688,0.0018476217524036789,10567.657534246575
3,UniMol_sim,24.76172101099749,9,22.010418676442214,16,14.246575342465754,52,7.534246575342466,55,3.835616438356164,56,2.557077625570776,56,0.7926386398506833,0.08364908935351344,0.2992721083059976,2978.8356164383563
4,GraphDTA_Kd,5.5026046691105535,2,2.7513023345552767,2,1.095890410958904,4,0.821917808219178,6,1.0273972602739727,15,1.0502283105022832,23,0.5061024418457569,0.01944739174091153,0.032867087998902776,7043.924657534247
4,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.045662100456621,1,0.052380097156281405,0.002641233550621526,1.669335093868449e-10,13480.883561643835
4,GraphDTA_IC50,16.50781400733166,6,12.380860505498745,9,6.027397260273973,22,3.4246575342465753,25,1.917808219178082,28,1.461187214611872,32,0.5949933906306275,0.03860359110005129,0.15187483229246782,5782.828767123287
4,MLTLE_pKd,8.25390700366583,3,5.5026046691105535,4,1.917808219178082,7,1.917808219178082,14,1.5068493150684932,22,1.552511415525114,34,0.6460482343955637,0.011993484468619541,0.06678211627142125,5058.513698630137
4,Vina,0.0,0,1.3756511672776384,1,0.821917808219178,3,1.2328767123287672,9,1.4383561643835616,21,1.552511415525114,34,0.6710093458124406,0.007549969082155199,0.010155220231744767,4704.390410958904
4,Boltz_affinity,0.0,0,2.7513023345552767,2,7.671232876712328,28,5.47945205479452,40,3.9726027397260273,58,2.922374429223744,64,0.8476784167639484,0.025688026685362887,0.06502426354310893,2197.986301369863
4,Boltz_confidence,13.756511672776384,5,16.50781400733166,12,12.32876712328767,45,9.452054794520548,69,5.0,73,3.3333333333333335,73,0.9593922083790776,0.07267111474102819,0.21631357448361246,613.1027397260274
